Date,Price,MarketCap,Addresses,Difficulty,TransFee,TweetsNum
17/07/2010,0.0495,169839.0,804.0,181.543,1.05e-05,
18/07/2010,0.0726,249761.0,917.0,181.543,0.00024300000000000002,
19/07/2010,0.0859,295981.0,972.0,181.543,2.18e-05,
20/07/2010,0.0783,270546.0,906.0,181.543,,
21/07/2010,0.0767,265900.0,809.0,181.543,,
22/07/2010,0.0649,225420.0,599.0,181.543,,
23/07/2010,0.0566,197086.0,652.0,181.543,2.61e-06,
24/07/2010,0.0581,202929.0,964.0,181.543,,
25/07/2010,0.053,185609.0,2132.0,181.543,9.65e-05,
26/07/2010,0.053,186308.0,1238.0,181.543,0.000357,
27/07/2010,0.057999999999999996,204589.0,771.0,239.305,0.000149,
28/07/2010,0.0595,210197.0,674.0,244.213,3.48e-05,
29/07/2010,0.0648,229629.0,528.0,244.213,3.4200000000000005e-05,
30/07/2010,0.0663,235363.0,583.0,244.213,0.000134,
31/07/2010,0.0664,236589.0,475.0,244.213,0.000217,
01/08/2010,0.0611,218064.0,620.0,244.213,0.000151,
02/08/2010,0.0613,219511.0,627.0,244.213,8.25e-05,
03/08/2010,0.06,215757.0,974.0,244.213,,
04/08/2010,0.0597,215175.0,731.0,244.213,,
05/08/2010,0.0596,215538.0,819.0,259.068,,
06/08/2010,0.0622,225626.0,638.0,352.161,,
07/08/2010,0.0599,217898.0,514.0,352.161,0.00117,
08/08/2010,0.06,218545.0,584.0,352.161,,
09/08/2010,0.066,241092.0,778.0,352.161,0.00122,
10/08/2010,0.069,252878.0,590.0,352.161,,
11/08/2010,0.0635,233328.0,701.0,352.161,,
12/08/2010,0.069,254341.0,579.0,352.161,,
13/08/2010,0.0655,242150.0,847.0,352.161,,
14/08/2010,0.0663,245635.0,563.0,352.161,,
15/08/2010,0.0661,246175.0,425.0,389.944,,
16/08/2010,0.0643,240142.0,772.0,511.774,0.00014099999999999998,
17/08/2010,0.0678,253348.0,494.0,511.774,,
18/08/2010,0.069,258448.0,726.0,511.774,0.00044100000000000004,
19/08/2010,0.0673,252547.0,470.0,511.774,,
20/08/2010,0.0661,248490.0,656.0,511.774,,
21/08/2010,0.066,248562.0,528.0,511.774,,
